,Rank,Name,Brewery,Type,ABV,WR,Reviews,Good,Ale,Stout,IPA,Good predict Logistic,Good predict KNN
0,1,Heady Topper,The Alchemist,Imperial IPA,8.0,4.69,3146,1,0,0,1,0,0
1,2,Pliny The Younger,Russian River Brewing Company,Imperial IPA,11.0,4.65,1572,1,0,0,1,0,0
2,3,Pliny The Elder,Russian River Brewing Company,Imperial IPA,8.0,4.64,6129,1,0,0,1,1,1
3,4,Founders CBS Imperial Stout,Founders Brewing Company,Imperial Stout,10.6,4.63,2026,1,0,1,0,0,0
4,5,Founders KBS (Kentucky Breakfast Stout),Founders Brewing Company,Imperial Stout,11.2,4.61,4714,1,0,1,0,1,1
5,6,Zombie Dust,Three Floyds Brewing Co. & Brewpub,American Pale Ale,6.4,4.61,2978,1,1,0,0,0,0
7,8,Bourbon County Brand Coffee Stout,Goose Island Beer Co.,Imperial Stout,14.0,4.61,2014,1,0,1,0,1,0
8,9,Parabola,Firestone Walker Brewing Co.,Imperial Stout,12.5,4.55,2178,1,0,1,0,0,1
9,10,Bourbon Barrel Aged Vanilla Bean Dark Lord,Three Floyds Brewing Co. & Brewpub,Imperial Stout,15.0,4.55,429,1,0,1,0,0,0
10,11,The Abyss,Deschute Brewery,Imperial Stout,11.0,4.53,3032,1,0,1,0,0,0
11,12,Supplication,Russian River Brewing Company,Imperial Stout,7.0,4.53,2715,1,0,1,0,0,0
12,13,Bell's Hopslam Ale,Bell's Brewing Company,Imperial IPA,10.0,4.52,6267,1,0,0,1,1,1
13,14,Cantillon Fou' Foune,Brasserie Cantillon,Fruit,5.0,4.52,914,1,0,0,0,0,0
14,15,Founders Breakfast Stout,Founders Brewing Company,Imperial Stout,8.3,4.51,6956,1,0,1,0,1,1
16,17,Bourbon County Brand Stout,Goose Island Beer Co.,Imperial Stout,15.0,4.51,4239,1,0,1,0,1,1
17,18,Citra DIPA,Kern River Brewing Company,Imperial IPA,8.0,4.51,714,1,0,0,1,0,1
18,19,Hunahpu's Imperial Stout,Cigar City Brewing,Imperial Stout,11.0,4.5,1204,1,0,1,0,0,1
19,20,Dark Horse Bourbon Barrel Aged Plead The 5th,Dark Horse Brewing Company,Imperial Stout,14.0,4.5,787,1,0,1,0,0,1
21,22,Bell's Black Note Stout,Bell's Brewing Company,Imperial Stout,11.5,4.49,1221,1,0,1,0,0,1
22,23,Kuhnhenn Bourbon Barrel Fourth Dementia,Kuhnhenn Brewing Company,Old Ale,13.5,4.49,786,1,1,0,0,0,1
23,24,Abrasive Ale,Surly Bewing Company,Imperial IPA,9.0,4.48,1662,1,0,0,1,0,0
24,25,Abner,Hill Farmstead Brewery,Imperial IPA,8.2,4.48,611,1,0,0,1,0,0
25,26,Double Sunshine IPA,Lawson's Finest Liquids,Imperial IPA,8.0,4.48,568,1,0,0,1,0,0
26,27,Black Tuesday,The Bruery,Imperial Stout,19.2,4.47,1267,1,0,1,0,1,0
30,31,Darkness,Surly Bewing Company,Imperial Stout,10.3,4.45,1481,1,0,1,0,0,0
31,32,Cantillon Lou Pepe - Kriek,Brasserie Cantillon,Fruit,5.0,4.45,684,1,0,0,0,0,0
33,34,Double Galaxy,Hill Farmstead Brewery,Imperial IPA,8.0,4.44,375,1,0,0,1,0,0
34,35,Dreadnaught IPA,Three Floyds Brewing Co. & Brewpub,Imperial IPA,9.5,4.43,3018,1,0,0,1,0,0
36,37,Cantillon Saint Lamvinus,Brasserie Cantillon,Fruit,6.0,4.42,774,1,0,0,0,0,1
37,38,Everett PorterAmerican Porte,Hill Farmstead Brewery,Porter,7.5,4.42,666,1,0,0,0,0,0
39,40,Cantillon BlÌ´bÌ_r LambikLambic,Brasserie Cantillon,Fruit,5.0,4.42,378,1,0,0,0,0,0
40,41,Hunahpu's Imperial Stout - Laird's Apple Brandy Barrel,Cigar City Brewing,Imperial Stout,11.5,4.42,251,1,0,1,0,0,0
41,42,Sculpin India Pale Ale,Ballast Point Brewing Company,American IPA,7.0,4.41,4099,1,0,0,1,0,1
43,44,AleSmith Speedway Stout,Smith Brewing Company,Imperial Stout,12.0,4.41,2554,1,0,1,0,0,0
44,45,Ephraim,Hill Farmstead Brewery,Imperial IPA,10.5,4.41,356,1,0,0,1,0,1
45,46,Mother Of All Storms,Pelican Pub & Brewery,English Barleywine,14.0,4.4,805,1,0,0,0,0,1
46,47,Adam From The Wood,Brewery and Tasting Room,Old Ale,12.0,4.4,305,1,1,0,0,0,0
47,48,Enjoy By IPA,Stone Brewing Co.,Imperial IPA,9.4,4.39,1885,1,0,0,1,0,0
48,49,Cantillon Gueuze 100% Lambic,Brasserie Cantillon,Lambic Gueuze,5.0,4.39,1086,1,0,0,0,0,0
49,50,AleSmith Speedway Stout - Barrel Aged,Smith Brewing Company,Imperial Stout,12.0,4.39,540,1,0,1,0,0,0
50,51,Cable Car,The Lost Abbey,Wild Ale,7.0,4.39,345,1,1,0,0,0,1
51,52,TrÌ¦egs Nugget Nectar,TrÌ¦egs Brewing Company,Red Ale,7.5,4.38,4315,1,1,0,0,0,1
52,53,PÌ©chÌ© Mortel (Imperial Stout Au Cafe),Brasserie Dieu Du Ciel,Imperial Stout,9.5,4.38,2270,1,0,1,0,0,0
53,54,Samuel Adams Utopias,Boston Beer Company (Samuel Adams),American Strong Ale,29.0,4.38,933,1,1,0,0,1,0
54,55,Bourbon Barrel Aged Dark Lord Imperial Stout,Three Floyds Brewing Co. & Brewpub,Imperial Stout,15.0,4.38,316,1,0,1,0,0,0
55,56,Imperial Russian Stout,Stone Brewing Co.,Imperial Stout,10.5,4.37,4265,1,0,1,0,1,1
56,57,Lagunitas Sucks Brown Shugga Substitute Ale,Lagunitas Brewing Company,Imperial IPA,7.85,4.37,3571,1,0,0,1,0,0
57,58,Victory At Sea Coffee Vanilla Imperial PorterAmerican Porter,Ballast Point Brewing Company,Porter,10.0,4.37,1747,1,0,0,0,0,0
58,59,Nelson,Alpine Beer Company,American IPA,7.1,4.37,1054,1,0,0,1,0,0
59,60,Exponential Hoppiness,Alpine Beer Company,Imperial IPA,11.0,4.37,708,1,0,0,1,0,1
60,61,Bell's Bourbon Barrel Aged Batch 9000,Bell's Brewing Company,American Strong Ale,14.9,4.37,317,1,1,0,0,0,0
61,62,Founders Imperial Stout,Founders Brewing Company,Imperial Stout,10.5,4.36,3080,1,0,1,0,0,0
62,63,Wet,Surly Bewing Company,American IPA,7.5,4.36,819,1,0,0,1,0,1
63,64,Imperial Eclipse Stout - Elijah Craig (12 Year),FiftyFifty Brewing Company,Imperial Stout,9.5,4.36,556,1,0,1,0,0,0
64,65,Cherry Rye Bourbon County Brand Stout,Goose Island Beer Co.,Imperial Stout,13.7,4.36,531,1,0,1,0,0,0
65,66,Chocolate Rain,The Bruery,Imperial Stout,19.5,4.36,482,1,0,1,0,1,0
66,67,Hoppy Birthday,Alpine Beer Company,American Pale Ale,5.25,4.36,262,1,1,0,0,0,0
67,68,Ten FIDY,Oskar Blues Brewing Company,Imperial Stout,10.5,4.35,3852,1,0,1,0,0,1
68,69,Ayinger Celebrator Doppelbock,Privatbrauerei Franz Inselkammer KG,Doppelbock,6.7,4.35,3482,1,0,0,0,0,0
69,70,Furious,Surly Bewing Company,American IPA,6.2,4.35,2347,1,0,0,1,0,0
70,71,Duet IPA,Alpine Beer Company,American IPA,7.0,4.35,842,1,0,0,1,0,0
71,72,Evil Twin Imperial Biscotti Break,Evil Twin Brewing,Imperial Stout,11.5,4.35,748,1,0,1,0,0,1
72,73,Brute,Ithaca Beer Company,Wild Ale,6.5,4.35,672,1,1,0,0,0,0
73,74,Silva Stout,Green Flash Brewing Co.,Imperial Stout,10.1,4.35,479,1,0,1,0,0,0
74,75,Cascade Sang Noir,Raccoon Lodge & Brewpub,American Wild Ale,9.5,4.35,468,1,1,0,0,0,0
75,76,Drie Fonteinen Oude Geuze Vintage,Brouwerik Drie Fonteinen,Gueuze,6.0,4.35,242,1,0,0,0,0,0
76,77,Double Jack,Firestone Walker Brewing Co.,Imperial IPA,9.5,4.34,2698,1,0,0,1,0,0
77,78,Blind Pig IPA,Russian River Brewing Company,American IPA,6.1,4.34,2419,1,0,0,1,0,0
79,80,Pure Hoppiness,Alpine Beer Company,Imperial IPA,8.0,4.34,1116,1,0,0,1,0,0
80,81,FantÌ«me Saison,Brasserie FantÌ«me,Farmhouse Ale,8.0,4.34,1112,1,1,0,0,0,0
81,82,Fat Head's Head Hunter IPA,Fat Heads Brewery & Saloon,American IPA,7.5,4.34,879,1,0,0,1,0,0
82,83,Melange No. 3,The Bruery,American Strong Ale,15.5,4.34,605,1,1,0,0,0,0
83,84,Imperial Eclipse Stout - Elijah Craig (20 Year),FiftyFifty Brewing Company,Imperial Stout,9.5,4.34,421,1,0,1,0,0,0
84,85,Ruination IPA,Stone Brewing Co.,Imperial Stout,7.7,4.33,5586,1,0,1,0,1,1
86,87,Wisconsin Belgian Red,New Glarus Brewing Company,Vegetable Beer,4.0,4.33,1531,1,0,0,0,0,0
87,88,Ruination Tenth Anniversary IPA,Stone Brewing Co.,Imperial IPA,10.8,4.33,1172,1,0,0,1,0,1
88,89,Drie Fonteinen Oude Geuze,Brouwerij Drie Fonteinen,Gueuze,6.0,4.33,1041,1,0,0,0,0,0
89,90,Great Lakes Barrel-Aged Blackout Stout,Great Lakes Brewing Company,Imperial Stout,9.5,4.33,748,1,0,1,0,0,1
90,91,Edward,Farmstead Brewery,American Pale Ale,5.2,4.33,604,1,1,0,0,0,0
91,92,Matt,Hair of the Dog Brewing Company,American Strong Ale,11.5,4.33,365,1,1,0,0,0,1
93,94,Trappistes Rochefort 8,Brasserie de Rochefort,Belgian Strong Dark Ale,9.2,4.32,2630,1,1,0,0,0,0
94,95,Schneider Weisse Tap 6 Unser Aventinus,Weisses BrÌ_uhaus G. Schneider & Sohn GmbH,Weizenbock,8.2,4.32,2608,1,0,0,0,0,0
95,96,Lunch,Maine Beer Company,American IPA,7.0,4.32,952,1,0,0,1,0,0
96,97,Masala Mama India Pale Ale,Minneapolis Town Hall Brewery,American IPA,6.0,4.32,922,1,0,0,1,0,0
97,98,Drie Fonteinen Schaerbeekse Kriek,Brouwerik Drie Fonteinen,Fruit,6.0,4.32,464,1,0,0,0,0,0
98,99,Cantillon Lou Pepe - Gueuze,Brasserie Cantillon,Gueuze,5.0,4.32,334,1,0,0,0,0,1
99,100,Chimay Grande RÌ©serve (Blue),BiÌ¬res de Chimay S.A.,Belgian Strong Dark Ale,9.0,4.31,3967,1,1,0,0,0,1
100,101,Raspberry Tart,New Glarus Brewing Company,Vegetable Beer,4.0,4.31,1493,1,0,0,0,0,0
101,102,Kuhnhenn Raspberry Eisbock,Kuhnhenn Brewing Company,Eisbock,15.5,4.31,546,1,0,0,0,0,0
102,103,Fruet,The Bruery,Old Ale,15.5,4.31,431,1,1,0,0,0,0
103,104,Birth Of Tragedy,Hill Farmstead Brewery,American Porter,9.0,4.31,362,1,0,0,0,0,1
104,105,Imperial Russian Stout - Bourbon Barrel Aged,Stone Brewing Co.,Russian Imperial Stout,11.5,4.31,254,1,0,1,0,0,0
105,106,Bad Boy,Alpine Beer Company,Imperial IPA,9.0,4.31,253,1,0,0,1,0,0
106,107,Old Rasputin Russian Imperial Stout,North Coast Brewing Co.,Russian Imperial Stout,9.0,4.3,5886,0,0,1,0,1,1
107,108,Double Bastard Ale,Stone Brewing Co.,American Strong Ale,11.2,4.3,3544,0,1,0,0,1,0
108,109,Founders Backwoods Bastard,Founders Brewing Company,Scoth Ale,10.2,4.3,2913,0,1,0,0,0,0
109,110,Dark Lord Imperial Stout,Three Floyds Brewing Co. & Brewpub,Russian Imperial Stout,15.0,4.3,2042,0,0,1,0,1,0
110,111,Duvel,Brouwerij Duvel Moortgat NV,Belgian Strong Pale Ale,8.5,4.29,4289,0,1,0,0,0,1
111,112,Westmalle Trappist Tripel,Brouwerij Westmalle,Tripel,9.5,4.29,2391,0,0,0,0,0,0
112,113,Saison-Brett,Boulevard Brewing Co.,Farmhouse Ale,8.5,4.29,1142,0,1,0,0,0,1
113,114,Sanctification,Russian River Brewing Company,American Wild Ale,6.75,4.29,1113,0,1,0,0,0,0
114,115,Older Viscosity,Port Brewing Company,Imperial Stout,12.0,4.29,995,0,0,1,0,0,0
115,116,Myrcenary Double IPA,Odell Brewing Company,Imperial IPA,9.3,4.29,991,0,0,0,1,0,0
116,117,Live Oak HefeWeizen,Live Oak Brewing Company,Hefeweizen,5.2,4.29,621,0,0,0,0,0,0
117,118,Arctic Devil Barley Wine,Midnight Sun Brewing Co.,English Barleywine,13.2,4.29,527,0,0,0,0,0,0
118,119,The Event Horizon,Old Hickory Brewery,Imperial Stout,8.5,4.29,467,0,0,1,0,0,0
119,120,Cantillon Lou Pepe - Framboise,Brasserie Cantillon,Fruit,5.0,4.29,379,0,0,0,0,0,0
121,122,90 Minute IPA,Dogfish Head Brewery,Imperial IPA,9.0,4.28,7320,0,0,0,1,1,1
122,123,Great Lakes Edmund Fitzgerald Porter,Great Lakes Brewing Company,American Porter,5.8,4.28,3163,0,0,0,0,0,0
123,124,Alpha King Pale AleAmerican Pale,Three Floyds Brewing Co. & Brewpub,American Pale Ale,6.66,4.28,2901,0,1,0,0,0,0
124,125,Beer Geek Brunch Weasel,Mikkeller ApS,Imperial Stout,10.9,4.28,1087,0,0,1,0,0,0
125,126,Marshal Zhukov's Imperial Stout,Cigar City Brewing,Imperial Stout,11.0,4.28,943,0,0,1,0,0,0
126,127,Cuvee Des Jacobins Rouge,Brouwerij Bockeror N.V.,Flanders Red Ale,5.5,4.28,864,0,1,0,0,0,0
127,128,Hoponius Union,Jack's Abby Brewing,American Pale Lager,6.7,4.28,576,0,0,0,0,0,0
128,129,SusanAmerican IPA,Farmstead Brewery,American IPA,6.2,4.28,252,0,0,0,1,0,0
129,130,Winter Ale (2012),Kern River Brewing Company,American Double,8.0,4.28,225,0,0,0,0,0,0
130,131,Society & Solitude #4,Hill Farmstead Brewery,Imperial IPA,8.0,4.28,211,0,0,0,1,0,0
131,132,Two Hearted Ale,Bell's Brewing Company,American IPA,7.0,4.27,5887,0,0,0,1,1,1
