,Rank,Name,Brewery,Type,ABV,WR,Reviews,Good,Ale,Stout,IPA,Good predict Logistic,Good predict KNN
132,133,Union Jack India Pale Ale,Firestone Walker Brewing Co.,American IPA,7.5,4.27,2466,0,0,0,1,0,0
133,134,Terrapin Coffee Oatmeal Imperial Stout,Terrapin Beer Company,American Double,8.1,4.27,1905,0,0,0,0,0,0
134,135,Oude Gueuze Tilquin ÌÊ L'Ancienne,Gueuzerie Tilquin,Gueuze,6.0,4.27,638,0,0,0,0,0,0
135,136,Barrel Aged Sexual Chocolate,Foothills Brewing Company,Imperial Stout,9.75,4.27,395,0,0,1,0,0,0
136,137,Humulus Lager,The Bruery,Imperial Pilsner,7.2,4.27,324,0,0,0,0,0,1
137,138,Maple Bacon Coffee Porter,The Funky Buddha Lounge & Brewery,American Porter,6.3,4.27,222,0,0,0,0,0,0
138,139,Society & Solitude #5,Hill Farmstead Brewery,Imperial IPA,7.8,4.27,179,0,0,0,1,0,0
139,140,Kaggen! Stormaktsporter,NÌ_rke Kulturbryggeri AB,Russian Imperial Stout,10.0,4.27,133,0,0,1,0,0,0
140,141,IPA (India Pale Ale),Stone Brewing Co.,American IPA,6.9,4.26,5247,0,0,0,1,0,1
141,142,Founders Porter,Founders Brewing Company,American Porter,6.5,4.26,2838,0,0,0,0,0,0
142,143,Choklat,Southern Tier Brewing Company,Imperial Stout,10.0,4.26,2586,0,0,1,0,0,0
143,144,AleSmith IPA,Smith Brewing Company,American IPA,7.25,4.26,1698,0,0,0,1,0,0
144,145,Founders Harvest Ale,Founders Brewing Company,American IPA,6.5,4.26,1663,0,0,0,1,0,0
145,146,CuvÌ©e Van De Keizer Blauw (Blue),Brouwerij Het Anker,Belgian Strong Dark Ale,11.0,4.26,1050,0,1,0,0,0,0
146,147,Barrel Aged B.O.R.I.S. Oatmeal Imperial Stout,Hoppin' Frog Brewery,Russian Imperial Stout,9.4,4.26,977,0,0,1,0,0,0
147,148,Gandhi-Bot Double IPA,New England Brewing Co.,Imperial IPA,8.8,4.26,814,0,0,0,1,0,1
148,149,Cantillon CuvÌ©e Des Champions,Brasserie Cantillon,Gueuze,5.0,4.26,387,0,0,0,0,0,0
149,150,Cuvee De Castleton,Captain Lawrence Brewing Co.,American Wild Ale,9.0,4.26,340,0,1,0,0,0,1
150,151,Double Citra,Hill Farmstead Brewery,Imperial IPA,8.0,4.26,185,0,0,0,1,0,0
151,152,Barrel-Aged Abraxas,Perennial Artisan Ales,Imperial Stout,11.0,4.26,128,0,0,1,0,0,0
152,153,Sublimely Self-Righteous Ale,Stone Brewing Co.,American Black Ale,8.7,4.25,3280,0,1,0,0,0,0
153,154,Hop Rod Rye,Bear Republic Brewing Co.,American IPA,8.0,4.25,3100,0,0,0,1,0,0
154,155,Oak Aged Yeti Imperial Stout,Great Divide Brewing Company,Russian Imperial Stout,9.5,4.25,2463,0,0,1,0,0,0
155,156,Rodenbach Grand Cru,Brouwerij Rodenbach N.V.,Flanders Red Ale,6.0,4.25,1615,0,1,0,0,0,0
156,157,Allagash Curieux (Bourbon Barrel-Aged Tripel),Allagash Brewing Company,Tripel,11.0,4.25,1490,0,0,0,0,0,0
157,158,Plead The 5th Imperial Stout,Dark Horse Brewing Company,Russian Imperial Stout,11.0,4.25,1362,0,0,1,0,0,0
158,159,Racer X Double IPA,Bear Republic Brewing Co.,Imperial IPA,8.3,4.25,935,0,0,0,1,0,0
159,160,Bourbon Barrel Barleywine,Central Waters Brewing Company,American Barleywine,11.5,4.25,931,0,0,0,0,0,0
160,161,White Rajah,Kettle Taproom & Smokehouse,American IPA,6.8,4.25,558,0,0,0,1,0,0
162,163,Twilight Of The Idols,Hill Farmstead Brewery,American Porter,7.5,4.25,419,0,0,0,0,0,0
163,164,Andechser Doppelbock Dunkel,Klosterbrauerei Andechs,Doppelbock,7.1,4.25,391,0,0,0,0,0,0
164,165,Kuhnhenn Bourbon Barrel Barley Wine,Kuhnhenn Brewing Company,English Barleywine,14.5,4.25,307,0,0,0,0,0,0
165,166,Framboise For A Cure,Russian River Brewing Company,American Wild Ale,6.5,4.25,296,0,1,0,0,0,0
166,167,Cascade Sang Royal,Raccoon Lodge & Brewpub,American Wild Ale,9.35,4.25,285,0,1,0,0,0,0
167,168,Flower Power India Pale Ale,Ithaca Beer Company,American IPA,7.5,4.24,2114,0,0,0,1,0,0
168,169,Tripel Karmeliet,Brouwerij Bosteels,Tripel,8.4,4.24,1888,0,0,0,0,0,0
169,170,Lips Of Faith - La Folie,New Belgium Brewing,Flanders Oud Bruin,6.0,4.24,1605,0,0,0,0,0,0
170,171,AdamOld Ale,Hair of the Dog Brewing Company,Old Ale,10.0,4.24,1359,0,1,0,0,0,0
171,172,Odell IPA,Odell Brewing Company,American IPA,7.0,4.24,1002,0,0,0,1,0,0
172,173,J.W. Lees Vintage Harvest Ale,J.W. Lees & Co. (Brewers) Ltd,English Barleywine,11.5,4.24,968,0,0,0,0,0,0
173,174,DeliveranceAmerican Strong Ale,The Lost Abbey,American Strong Ale,12.5,4.24,742,0,1,0,0,0,0
174,175,Girardin Gueuze 1882 (Black Label),Brouwerij Girardin,Gueuze,5.0,4.24,667,0,0,0,0,0,0
176,177,Bitter MonkBelgian IPA,Anchorage Brewing Company,Belgian IPA,9.0,4.24,408,0,0,0,1,0,0
177,178,Black Damnation V - Double Black,De Struise Brouwers,Imperial Stout,26.0,4.24,193,0,0,1,0,1,0
178,179,Columbus Bodhi DIPA,Columbus Brewing Company,Imperial IPA,8.0,4.24,192,0,0,0,1,0,0
179,180,FifteenAmerican Doubl,Central Waters Brewing Company,Imperial Stout,11.0,4.24,134,0,0,1,0,0,0
180,181,Samuel Smith's Oatmeal Stout,Samuel Smith Old Brewery,Oatmeal Stout,5.0,4.23,3688,0,0,1,0,0,0
181,182,Burton BatonAmerican Double,Dogfish Head Brewery,Imperial IPA,10.0,4.23,3378,0,0,0,1,0,0
182,183,Green Flash West Coast I.P.A.,Green Flash Brewing Co.,American IPA,7.3,4.23,3367,0,0,0,1,0,0
183,184,A Little Sumpin' Sumpin' Ale,Lagunitas Brewing Company,American Pale Wheat Ale,7.5,4.23,3207,0,1,0,0,0,0
184,185,Espresso Oak Aged Yeti Imperial Stout,Great Divide Brewing Company,American Double,9.5,4.23,1689,0,0,0,0,0,0
185,186,B.O.R.I.S. The Crusher Oatmeal-Imperial Stout,Hoppin' Frog Brewery,Russian Imperial Stout,9.4,4.23,1589,0,0,1,0,0,0
186,187,Weihenstephaner Hefeweissbier,Bayerishe Staatsbrauerei Weihenstephan,Dunkelweizen,5.3,4.23,1476,0,0,0,0,0,0
187,188,Weihenstephaner Vitus,Bayerishe Staatsbrauerei Weihenstephan,Weizenbock,7.7,4.23,1462,0,0,0,0,0,0
188,189,Wookey Jack,Firestone Walker Brewing Co.,American Black Ale,8.3,4.23,1406,0,1,0,0,0,0
189,190,Red Poppy Ale,The Lost Abbey,Flanders Red Ale,5.5,4.23,897,0,1,0,0,0,0
190,191,Broo Doo,Three Floyds Brewing Co. & Brewpub,American IPA,7.0,4.23,850,0,0,0,1,0,0
191,192,Alchemy Hour Double IPA,Great Lakes Brewing Company,Imperial IPA,9.4,4.23,767,0,0,0,1,0,1
192,193,Lips Of Faith - Le Terroir,New Belgium Brewing Company,American Wild Ale,7.5,4.23,509,0,1,0,0,0,1
193,194,Cascade Apricot Ale,Raccoon Lodge & Brewpub,American Wild Ale,8.5,4.23,485,0,1,0,0,0,0
194,195,Firestone 16 - Anniversary Ale,Firestone Walker Brewing Co.,American Strong Ale,13.0,4.23,456,0,1,0,0,0,0
195,196,Serendipity,New Glarus Brewing Company,Vegetable Beer,4.0,4.23,418,0,0,0,0,0,0
196,197,Czar Jack Imperial Stout,Minneapolis Town Hall Brewery,Russian Imperial Stout,9.3,4.23,273,0,0,1,0,0,0
197,198,Great,Alpine Beer Company,American Barleywine,14.0,4.23,205,0,0,0,0,0,0
198,199,Peche 'n Brett,Logsdon Farmhouse Ales,Farmhouse Ale,10.0,4.23,166,0,1,0,0,0,0
199,200,Hop Venom Double IPA,Boneyard Beer Company,Imperial IPA,10.0,4.23,162,0,0,0,1,0,0
200,201,Permanent Funeral,Three Floyds Brewing Co. & Brewpub,Imperial IPA,10.5,4.23,130,0,0,0,1,0,0
201,202,Oaked Arrogant Bastard Ale,Stone Brewing Co.,American Strong Ale,7.2,4.22,3311,0,1,0,0,0,0
202,203,Maharaja,Avery Brewing Company,Imperial IPA,10.4,4.22,2999,0,0,0,1,0,0
203,204,Trois Pistoles,Unibroue,Belgian Strong Dark Ale,9.0,4.22,2968,0,1,0,0,0,0
204,205,Yeti Imperial Stout,Great Divide Brewing Company,Russian Imperial Stout,9.5,4.22,2674,0,0,1,0,0,0
205,206,Gumballhead,Three Floyds Brewing Co. & Brewpub,American Pale Wheat Ale,5.6,4.22,2553,0,1,0,0,0,0
206,207,St. Bernardus Tripel,Brouwerij St. Bernardus NV,Tripel,8.0,4.22,1727,0,0,0,0,0,0
207,208,Arctic Panzer Wolf,Three Floyds Brewing Co. & Brewpub,Imperial IPA,9.0,4.22,1582,0,0,0,1,0,0
208,209,Behemoth Blonde Barleywine,Three Floyds Brewing Co. & Brewpub,American Barleywine,10.5,4.22,1016,0,0,0,0,0,0
209,210,Zoe,Maine Beer Company,American Amber,7.2,4.22,927,0,0,0,0,0,0
210,211,Cantillon Iris,Brasserie Cantillon,Lambic,5.0,4.22,679,0,0,0,0,0,0
211,212,Big Bad Baptist,Epic Brewing Co.,Imperial Stout,11.8,4.22,625,0,0,1,0,0,0
212,213,Cantillon Vigneronne,Brasserie Cantillon,Fruit,5.0,4.22,445,0,0,0,0,0,0
213,214,Cherry Adam From The Wood,Hair of the Dog Brewing Company,Old Ale,10.0,4.22,428,0,1,0,0,0,0
214,215,Berserker Imperial Stout,Midnight Sun Brewing Co.,Imperial Stout,12.7,4.22,390,0,0,1,0,0,0
215,216,Lindley ParkAmerican Double,Olde Hickory Brewery,Imperial Stout,10.0,4.22,273,0,0,1,0,0,0
216,217,Bligh's Barleywine Ale,Dry Dock Brewing Co.,English Barleywine,10.0,4.22,230,0,0,0,0,0,0
217,218,AleSmith Speedway Stout - Kopi Luwak,Smith Brewing Company,Imperial Stout,12.0,4.22,171,0,0,1,0,0,0
218,219,Society & Solitude #6,Hill Farmstead Brewery,Imperial IPA,8.1,4.22,152,0,0,0,1,0,0
219,220,Racer 5 India Pale Ale,Bear Republic Brewing Co.,American IPA,7.0,4.21,4089,0,0,0,1,0,1
220,221,Founders Red's Rye PA,Founders Brewing Company,Rye Beer,6.6,4.21,3221,0,0,0,0,0,0
221,222,Founders Double Trouble,Founders Brewing Company,Imperial IPA,9.4,4.21,2902,0,0,0,1,0,0
222,223,Gulden Draak (Dark Triple),Brouwerij Van Steetnberge N.V.,Belgian Strong Dark Ale,10.5,4.21,2049,0,1,0,0,0,0
223,224,Old Ruffian Barley Wine,Great Divide Brewing Company,American Barleywine,10.2,4.21,1498,0,0,0,0,0,0
224,225,YuleSmith (Summer),Smith Brewing Company,Imperial IPA,8.5,4.21,1074,0,0,0,1,0,0
225,226,Black Albert,De Struise Brouwers,Imperial Stout,13.0,4.21,1056,0,0,1,0,0,0
226,227,The Angel's Share - Bourbon Barrel-Aged,The Lost Abbey,American Strong Ale,12.5,4.21,988,0,1,0,0,0,0
227,228,The Oracle,Bell's Brewing Company,Imperial IPA,10.0,4.21,884,0,0,0,1,0,0
228,229,Oude Tart,The Bruery,Flanders Red Ale,7.5,4.21,783,0,1,0,0,0,1
229,230,Smuttynose Baltic Porter (Big Beer Series),Smuttynose Brewing Company,Blatic Porter,9.24,4.21,735,0,0,0,0,0,0
230,231,Dancing Man Wheat,New Glarus Brewing Company,Hefeweizen,7.2,4.21,704,0,0,0,0,0,0
231,232,Kuhnhenn Fourth Dementia (4D),Kuhnhenn Brewing Company,Old Ale,13.5,4.21,591,0,1,0,0,0,0
232,233,Ivan The Terrible Imperial Stout,Big Sky Brewing Company,Russian Imperial Stout,10.0,4.21,433,0,0,1,0,0,0
233,234,Kiwi Rising - Double IPL,Jack's Abby Brewing,Imperial Pilsner,8.5,4.21,222,0,0,0,0,0,0
234,235,Bourbon Abominable Winter Ale,Fremont Brewing Company,American Strong Ale,11.0,4.21,195,0,1,0,0,0,0
235,236,Compunction,Russian River Brewing Company,American Wild Ale,5.4,4.21,155,0,1,0,0,0,0
236,237,Baudoinia,Goose Island Beer Co.,Imperial Stout,15.0,4.21,107,0,0,1,0,0,0
237,238,Hop Stoopid,Lagunitas Brewing Company,Imperial IPA,8.0,4.2,3714,0,0,0,1,0,0
238,239,Orval Trappist Ale,Brasserie d'Orval S.A.,Belgian Pale Ale,6.2,4.2,3065,0,1,0,0,0,0
239,240,Bell's Expedition Stout,Bell's Brewing Company,Imperial Stout,10.5,4.2,2958,0,0,1,0,0,0
240,241,Great Lakes Blackout Stout,Great Lakes Brewing Company,Russian Imperial Stout,9.0,4.2,1674,0,0,1,0,0,0
241,242,Obsidian Stout,Deschute Brewery,American Stout,6.4,4.2,1552,0,0,1,0,0,0
242,243,Cantillon Kriek 100% Lambic,Brasserie Cantillon,Fruit,5.0,4.2,935,0,0,0,0,0,0
243,244,Apocalypse Cow,Three Floyds Brewing Co. & Brewpub,Imperial IPA,11.0,4.2,889,0,0,0,1,0,0
244,245,Red Racer IPA (India Pale Ale),Central City Brewing,American IPA,6.5,4.2,655,0,0,0,1,0,0
245,246,Just Outstanding IPA,Kern River Brewing Company,American IPA,6.8,4.2,639,0,0,0,1,0,0
246,247,Allagash Odyssey,Allagash Brewing Company,Belgian Strong Dark Ale,10.4,4.2,581,0,1,0,0,0,0
247,248,Columbus IPA,Columbus Brewing Company,American IPA,6.5,4.2,564,0,0,0,1,0,0
248,249,Barrel Aged Yeti,Great Divide Brewing Company,Russian Imperial Stout,10.7,4.2,445,0,0,1,0,0,0
249,250,Rye'da TigerAmerican Double,Three Floyds Brewing Co. & Brewpub,Imperial IPA,8.6,4.2,397,0,0,0,1,0,0
